"","uniqueID","island","site","transect","topcolor","bowlcolor","insectorder","numinsects","date traps out","date traps coll"
"1","GuamAnaoL1","Guam","Anao","L1","b","y","Diptera",0,2018-01-12,2018-01-15
"2","GuamAnaoL1","Guam","Anao","L1","y","w","Diptera",1,2018-01-12,2018-01-15
"3","GuamAnaoL1","Guam","Anao","L1","y","b","Diptera",0,2018-01-12,2018-01-15
"4","GuamAnaoL1","Guam","Anao","L1","y","r","Diptera",0,2018-01-12,2018-01-15
"5","GuamAnaoL1","Guam","Anao","L1","w","b","Diptera",0,2018-01-12,2018-01-15
"6","GuamAnaoL1","Guam","Anao","L1","r","b","Diptera",4,2018-01-12,2018-01-15
"7","GuamAnaoL1","Guam","Anao","L1","w","y","Diptera",0,2018-01-12,2018-01-15
"8","GuamAnaoL1","Guam","Anao","L1","r","w","Diptera",1,2018-01-12,2018-01-15
"9","GuamAnaoL1","Guam","Anao","L1","b","b","Diptera",0,2018-01-12,2018-01-15
"10","GuamAnaoL1","Guam","Anao","L1","b","r","Diptera",1,2018-01-12,2018-01-15
"11","GuamAnaoL1","Guam","Anao","L1","b","w","Diptera",0,2018-01-12,2018-01-15
"12","GuamAnaoL1","Guam","Anao","L1","y","y","Diptera",0,2018-01-12,2018-01-15
"13","GuamAnaoL1","Guam","Anao","L1","w","w","Diptera",1,2018-01-12,2018-01-15
"14","GuamAnaoL1","Guam","Anao","L1","w","r","Diptera",1,2018-01-12,2018-01-15
"15","GuamAnaoL1","Guam","Anao","L1","r","r","Diptera",6,2018-01-12,2018-01-15
"16","GuamAnaoL1","Guam","Anao","L1","r","y","Diptera",5,2018-01-12,2018-01-15
"17","GuamAnaoL2","Guam","Anao","L2","b","y","Diptera",0,2018-01-12,2018-01-15
"18","GuamAnaoL2","Guam","Anao","L2","b","b","Diptera",0,2018-01-12,2018-01-15
"19","GuamAnaoL2","Guam","Anao","L2","r","b","Diptera",0,2018-01-12,2018-01-15
"20","GuamAnaoL2","Guam","Anao","L2","y","y","Diptera",0,2018-01-12,2018-01-15
"21","GuamAnaoL2","Guam","Anao","L2","b","r","Diptera",0,2018-01-12,2018-01-15
"22","GuamAnaoL2","Guam","Anao","L2","r","w","Diptera",0,2018-01-12,2018-01-15
"23","GuamAnaoL2","Guam","Anao","L2","w","y","Diptera",1,2018-01-12,2018-01-15
"24","GuamAnaoL2","Guam","Anao","L2","b","w","Diptera",0,2018-01-12,2018-01-15
"25","GuamAnaoL2","Guam","Anao","L2","y","b","Diptera",0,2018-01-12,2018-01-15
"26","GuamAnaoL2","Guam","Anao","L2","y","w","Diptera",0,2018-01-12,2018-01-15
"27","GuamAnaoL2","Guam","Anao","L2","w","r","Diptera",1,2018-01-12,2018-01-15
"28","GuamAnaoL2","Guam","Anao","L2","w","b","Diptera",0,2018-01-12,2018-01-15
"29","GuamAnaoL2","Guam","Anao","L2","r","y","Diptera",0,2018-01-12,2018-01-15
"30","GuamAnaoL2","Guam","Anao","L2","w","w","Diptera",0,2018-01-12,2018-01-15
"31","GuamAnaoL2","Guam","Anao","L2","r","r","Diptera",0,2018-01-12,2018-01-15
"32","GuamAnaoL2","Guam","Anao","L2","y","r","Diptera",0,2018-01-12,2018-01-15
"33","GuamAnaoL3","Guam","Anao","L3","y","y","Diptera",0,2018-01-12,2018-01-15
"34","GuamAnaoL3","Guam","Anao","L3","y","w","Diptera",1,2018-01-12,2018-01-15
"35","GuamAnaoL3","Guam","Anao","L3","y","b","Diptera",1,2018-01-12,2018-01-15
"36","GuamAnaoL3","Guam","Anao","L3","b","b","Diptera",0,2018-01-12,2018-01-15
"37","GuamAnaoL3","Guam","Anao","L3","r","r","Diptera",0,2018-01-12,2018-01-15
"38","GuamAnaoL3","Guam","Anao","L3","w","b","Diptera",0,2018-01-12,2018-01-15
"39","GuamAnaoL3","Guam","Anao","L3","y","r","Diptera",0,2018-01-12,2018-01-15
"40","GuamAnaoL3","Guam","Anao","L3","w","w","Diptera",0,2018-01-12,2018-01-15
"41","GuamAnaoL3","Guam","Anao","L3","w","y","Diptera",0,2018-01-12,2018-01-15
"42","GuamAnaoL3","Guam","Anao","L3","b","y","Diptera",1,2018-01-12,2018-01-15
"43","GuamAnaoL3","Guam","Anao","L3","b","r","Diptera",0,2018-01-12,2018-01-15
"44","GuamAnaoL3","Guam","Anao","L3","r","w","Diptera",1,2018-01-12,2018-01-15
"45","GuamAnaoL3","Guam","Anao","L3","r","y","Diptera",0,2018-01-12,2018-01-15
"46","GuamAnaoL3","Guam","Anao","L3","w","r","Diptera",0,2018-01-12,2018-01-15
"47","GuamAnaoL3","Guam","Anao","L3","r","b","Diptera",0,2018-01-12,2018-01-15
"48","GuamAnaoL3","Guam","Anao","L3","b","w","Diptera",0,2018-01-12,2018-01-15
"49","GuamNblasL1","Guam","Nblas","L1","r","r","Diptera",0,2018-01-12,2018-01-15
"50","GuamNblasL1","Guam","Nblas","L1","r","b","Diptera",1,2018-01-12,2018-01-15
"51","GuamNblasL1","Guam","Nblas","L1","r","y","Diptera",0,2018-01-12,2018-01-15
"52","GuamNblasL1","Guam","Nblas","L1","r","w","Diptera",2,2018-01-12,2018-01-15
"53","GuamNblasL1","Guam","Nblas","L1","b","r","Diptera",0,2018-01-12,2018-01-15
"54","GuamNblasL1","Guam","Nblas","L1","b","b","Diptera",0,2018-01-12,2018-01-15
"55","GuamNblasL1","Guam","Nblas","L1","b","y","Diptera",1,2018-01-12,2018-01-15
"56","GuamNblasL1","Guam","Nblas","L1","b","w","Diptera",0,2018-01-12,2018-01-15
"57","GuamNblasL1","Guam","Nblas","L1","y","r","Diptera",1,2018-01-12,2018-01-15
"58","GuamNblasL1","Guam","Nblas","L1","y","b","Diptera",0,2018-01-12,2018-01-15
"59","GuamNblasL1","Guam","Nblas","L1","y","y","Diptera",0,2018-01-12,2018-01-15
"60","GuamNblasL1","Guam","Nblas","L1","y","w","Diptera",3,2018-01-12,2018-01-15
"61","GuamNblasL1","Guam","Nblas","L1","w","r","Diptera",0,2018-01-12,2018-01-15
"62","GuamNblasL1","Guam","Nblas","L1","w","b","Diptera",2,2018-01-12,2018-01-15
"63","GuamNblasL1","Guam","Nblas","L1","w","y","Diptera",0,2018-01-12,2018-01-15
"64","GuamNblasL1","Guam","Nblas","L1","w","w","Diptera",0,2018-01-12,2018-01-15
"65","GuamNblasL2","Guam","Nblas","L2","r","y","Diptera",3,2018-01-12,2018-01-15
"66","GuamNblasL2","Guam","Nblas","L2","r","r","Diptera",0,2018-01-12,2018-01-15
"67","GuamNblasL2","Guam","Nblas","L2","r","w","Diptera",4,2018-01-12,2018-01-15
"68","GuamNblasL2","Guam","Nblas","L2","r","b","Diptera",0,2018-01-12,2018-01-15
"69","GuamNblasL2","Guam","Nblas","L2","w","b","Diptera",1,2018-01-12,2018-01-15
"70","GuamNblasL2","Guam","Nblas","L2","w","y","Diptera",0,2018-01-12,2018-01-15
"71","GuamNblasL2","Guam","Nblas","L2","w","w","Diptera",0,2018-01-12,2018-01-15
"72","GuamNblasL2","Guam","Nblas","L2","y","y","Diptera",0,2018-01-12,2018-01-15
"73","GuamNblasL2","Guam","Nblas","L2","w","r","Diptera",0,2018-01-12,2018-01-15
"74","GuamNblasL2","Guam","Nblas","L2","y","b","Diptera",0,2018-01-12,2018-01-15
