"","X1","uniqueID","island","site","transect","topcolor","bowlcolor","insectorder","numinsects","dateout","datecoll","duration"
"1",1,"GuamAnaoL1","Guam","anao","L1","b","y","Diptera",0,2018-01-12,2018-01-15,3
"2",3,"GuamAnaoL1","Guam","anao","L1","y","b","Diptera",0,2018-01-12,2018-01-15,3
"3",4,"GuamAnaoL1","Guam","anao","L1","y","r","Diptera",0,2018-01-12,2018-01-15,3
"4",5,"GuamAnaoL1","Guam","anao","L1","w","b","Diptera",0,2018-01-12,2018-01-15,3
"5",7,"GuamAnaoL1","Guam","anao","L1","w","y","Diptera",0,2018-01-12,2018-01-15,3
"6",9,"GuamAnaoL1","Guam","anao","L1","b","b","Diptera",0,2018-01-12,2018-01-15,3
"7",11,"GuamAnaoL1","Guam","anao","L1","b","w","Diptera",0,2018-01-12,2018-01-15,3
"8",12,"GuamAnaoL1","Guam","anao","L1","y","y","Diptera",0,2018-01-12,2018-01-15,3
"9",17,"GuamAnaoL2","Guam","anao","L2","b","y","Diptera",0,2018-01-12,2018-01-15,3
"10",18,"GuamAnaoL2","Guam","anao","L2","b","b","Diptera",0,2018-01-12,2018-01-15,3
"11",19,"GuamAnaoL2","Guam","anao","L2","r","b","Diptera",0,2018-01-12,2018-01-15,3
"12",20,"GuamAnaoL2","Guam","anao","L2","y","y","Diptera",0,2018-01-12,2018-01-15,3
"13",21,"GuamAnaoL2","Guam","anao","L2","b","r","Diptera",0,2018-01-12,2018-01-15,3
"14",22,"GuamAnaoL2","Guam","anao","L2","r","w","Diptera",0,2018-01-12,2018-01-15,3
"15",24,"GuamAnaoL2","Guam","anao","L2","b","w","Diptera",0,2018-01-12,2018-01-15,3
"16",25,"GuamAnaoL2","Guam","anao","L2","y","b","Diptera",0,2018-01-12,2018-01-15,3
"17",26,"GuamAnaoL2","Guam","anao","L2","y","w","Diptera",0,2018-01-12,2018-01-15,3
"18",28,"GuamAnaoL2","Guam","anao","L2","w","b","Diptera",0,2018-01-12,2018-01-15,3
"19",29,"GuamAnaoL2","Guam","anao","L2","r","y","Diptera",0,2018-01-12,2018-01-15,3
"20",30,"GuamAnaoL2","Guam","anao","L2","w","w","Diptera",0,2018-01-12,2018-01-15,3
"21",31,"GuamAnaoL2","Guam","anao","L2","r","r","Diptera",0,2018-01-12,2018-01-15,3
"22",32,"GuamAnaoL2","Guam","anao","L2","y","r","Diptera",0,2018-01-12,2018-01-15,3
"23",33,"GuamAnaoL3","Guam","anao","L3","y","y","Diptera",0,2018-01-12,2018-01-15,3
"24",36,"GuamAnaoL3","Guam","anao","L3","b","b","Diptera",0,2018-01-12,2018-01-15,3
"25",37,"GuamAnaoL3","Guam","anao","L3","r","r","Diptera",0,2018-01-12,2018-01-15,3
"26",38,"GuamAnaoL3","Guam","anao","L3","w","b","Diptera",0,2018-01-12,2018-01-15,3
"27",39,"GuamAnaoL3","Guam","anao","L3","y","r","Diptera",0,2018-01-12,2018-01-15,3
"28",40,"GuamAnaoL3","Guam","anao","L3","w","w","Diptera",0,2018-01-12,2018-01-15,3
"29",41,"GuamAnaoL3","Guam","anao","L3","w","y","Diptera",0,2018-01-12,2018-01-15,3
"30",43,"GuamAnaoL3","Guam","anao","L3","b","r","Diptera",0,2018-01-12,2018-01-15,3
"31",45,"GuamAnaoL3","Guam","anao","L3","r","y","Diptera",0,2018-01-12,2018-01-15,3
"32",46,"GuamAnaoL3","Guam","anao","L3","w","r","Diptera",0,2018-01-12,2018-01-15,3
"33",47,"GuamAnaoL3","Guam","anao","L3","r","b","Diptera",0,2018-01-12,2018-01-15,3
"34",48,"GuamAnaoL3","Guam","anao","L3","b","w","Diptera",0,2018-01-12,2018-01-15,3
"35",49,"GuamNblasL1","Guam","nblas","L1","r","r","Diptera",0,2018-01-12,2018-01-15,3
"36",51,"GuamNblasL1","Guam","nblas","L1","r","y","Diptera",0,2018-01-12,2018-01-15,3
"37",53,"GuamNblasL1","Guam","nblas","L1","b","r","Diptera",0,2018-01-12,2018-01-15,3
"38",54,"GuamNblasL1","Guam","nblas","L1","b","b","Diptera",0,2018-01-12,2018-01-15,3
"39",56,"GuamNblasL1","Guam","nblas","L1","b","w","Diptera",0,2018-01-12,2018-01-15,3
"40",58,"GuamNblasL1","Guam","nblas","L1","y","b","Diptera",0,2018-01-12,2018-01-15,3
"41",59,"GuamNblasL1","Guam","nblas","L1","y","y","Diptera",0,2018-01-12,2018-01-15,3
"42",61,"GuamNblasL1","Guam","nblas","L1","w","r","Diptera",0,2018-01-12,2018-01-15,3
"43",63,"GuamNblasL1","Guam","nblas","L1","w","y","Diptera",0,2018-01-12,2018-01-15,3
"44",64,"GuamNblasL1","Guam","nblas","L1","w","w","Diptera",0,2018-01-12,2018-01-15,3
"45",66,"GuamNblasL2","Guam","nblas","L2","r","r","Diptera",0,2018-01-12,2018-01-15,3
"46",68,"GuamNblasL2","Guam","nblas","L2","r","b","Diptera",0,2018-01-12,2018-01-15,3
"47",70,"GuamNblasL2","Guam","nblas","L2","w","y","Diptera",0,2018-01-12,2018-01-15,3
"48",71,"GuamNblasL2","Guam","nblas","L2","w","w","Diptera",0,2018-01-12,2018-01-15,3
"49",72,"GuamNblasL2","Guam","nblas","L2","y","y","Diptera",0,2018-01-12,2018-01-15,3
"50",73,"GuamNblasL2","Guam","nblas","L2","w","r","Diptera",0,2018-01-12,2018-01-15,3
"51",74,"GuamNblasL2","Guam","nblas","L2","y","b","Diptera",0,2018-01-12,2018-01-15,3
"52",75,"GuamNblasL2","Guam","nblas","L2","y","w","Diptera",0,2018-01-12,2018-01-15,3
"53",76,"GuamNblasL2","Guam","nblas","L2","y","r","Diptera",0,2018-01-12,2018-01-15,3
"54",77,"GuamNblasL2","Guam","nblas","L2","b","w","Diptera",0,2018-01-12,2018-01-15,3
"55",78,"GuamNblasL2","Guam","nblas","L2","b","r","Diptera",0,2018-01-12,2018-01-15,3
"56",79,"GuamNblasL2","Guam","nblas","L2","b","b","Diptera",0,2018-01-12,2018-01-15,3
"57",80,"GuamNblasL2","Guam","nblas","L2","b","y","Diptera",0,2018-01-12,2018-01-15,3
"58",82,"GuamNblasL3","Guam","nblas","L3","r","w","Diptera",0,2018-01-12,2018-01-15,3
"59",83,"GuamNblasL3","Guam","nblas","L3","r","b","Diptera",0,2018-01-12,2018-01-15,3
"60",84,"GuamNblasL3","Guam","nblas","L3","r","y","Diptera",0,2018-01-12,2018-01-15,3
"61",85,"GuamNblasL3","Guam","nblas","L3","w","r","Diptera",0,2018-01-12,2018-01-15,3
"62",86,"GuamNblasL3","Guam","nblas","L3","w","w","Diptera",0,2018-01-12,2018-01-15,3
"63",87,"GuamNblasL3","Guam","nblas","L3","w","b","Diptera",0,2018-01-12,2018-01-15,3
"64",88,"GuamNblasL3","Guam","nblas","L3","w","y","Diptera",0,2018-01-12,2018-01-15,3
"65",89,"GuamNblasL3","Guam","nblas","L3","y","r","Diptera",0,2018-01-12,2018-01-15,3
"66",90,"GuamNblasL3","Guam","nblas","L3","y","w","Diptera",0,2018-01-12,2018-01-15,3
"67",91,"GuamNblasL3","Guam","nblas","L3","y","b","Diptera",0,2018-01-12,2018-01-15,3
"68",93,"GuamNblasL3","Guam","nblas","L3","b","r","Diptera",0,2018-01-12,2018-01-15,3
"69",94,"GuamNblasL3","Guam","nblas","L3","b","w","Diptera",0,2018-01-12,2018-01-15,3
"70",95,"GuamNblasL3","Guam","nblas","L3","b","b","Diptera",0,2018-01-12,2018-01-15,3
"71",96,"GuamNblasL3","Guam","nblas","L3","b","y","Diptera",0,2018-01-12,2018-01-15,3
"72",97,"GuamRacetrackL1","Guam","race","L1","w","w","Diptera",0,2018-01-12,2018-01-15,3
"73",98,"GuamRacetrackL1","Guam","race","L1","w","r","Diptera",0,2018-01-12,2018-01-15,3
"74",99,"GuamRacetrackL1","Guam","race","L1","w","y","Diptera",0,2018-01-12,2018-01-15,3
"75",101,"GuamRacetrackL1","Guam","race","L1","w","b","Diptera",0,2018-01-12,2018-01-15,3
"76",102,"GuamRacetrackL1","Guam","race","L1","r","r","Diptera",0,2018-01-12,2018-01-15,3
"77",104,"GuamRacetrackL1","Guam","race","L1","y","r","Diptera",0,2018-01-12,2018-01-15,3
"78",107,"GuamRacetrackL1","Guam","race","L1","r","b","Diptera",0,2018-01-12,2018-01-15,3
"79",108,"GuamRacetrackL1","Guam","race","L1","r","w","Diptera",0,2018-01-12,2018-01-15,3
"80",110,"GuamRacetrackL1","Guam","race","L1","b","w","Diptera",0,2018-01-12,2018-01-15,3
"81",111,"GuamRacetrackL1","Guam","race","L1","b","b","Diptera",0,2018-01-12,2018-01-15,3
"82",113,"GuamRacetrackL2","Guam","race","L2","r","w","Diptera",0,2018-01-12,2018-01-15,3
"83",115,"GuamRacetrackL2","Guam","race","L2","b","b","Diptera",0,2018-01-12,2018-01-15,3
"84",124,"GuamRacetrackL2","Guam","race","L2","w","b","Diptera",0,2018-01-12,2018-01-15,3
"85",128,"GuamRacetrackL2","Guam","race","L2","r","r","Diptera",0,2018-01-12,2018-01-15,3
"86",129,"GuamRacetrackL3","Guam","race","L3","r","r","Diptera",0,2018-01-12,2018-01-15,3
"87",130,"GuamRacetrackL3","Guam","race","L3","r","y","Diptera",0,2018-01-12,2018-01-15,3
"88",131,"GuamRacetrackL3","Guam","race","L3","y","r","Diptera",0,2018-01-12,2018-01-15,3
"89",132,"GuamRacetrackL3","Guam","race","L3","y","w","Diptera",0,2018-01-12,2018-01-15,3
"90",133,"GuamRacetrackL3","Guam","race","L3","y","b","Diptera",0,2018-01-12,2018-01-15,3
