"island","site","web","native","netting","startdate","enddate","spidpres","webpres","websize"
"saipan","ladt","G'P","yes","no","23-Jul-2013","1-Aug-2013","yes","no",71
"saipan","mtr","G'Q","yes","no","26-Jul-2013","29-Jul-2013","no","yes",34
"saipan","mtr","G'R","yes","no","26-Jul-2013","27-Jul-2013","no","yes",41
"saipan","forbi","G'S","yes","no","27-Jul-2013","29-Jul-2013","no","yes",37
"saipan","forbi","G'T","yes","no","27-Jul-2013","31-Jul-2013","no","no",51
"saipan","forbi","G'U","yes","no","27-Jul-2013","29-Jul-2013","no","yes",55
"saipan","ladt","G'V","yes","no","23-Jul-2013","24-Jul-2013","no","yes",50
"saipan","ladt","G'W","no","no","30-Jul-2013","31-Jul-2013","no","yes",43
"saipan","ladt","G'X","no","no","30-Jul-2013","31-Jul-2013","no","yes",59
"saipan","ladt","G'Y","no","no","30-Jul-2013","31-Jul-2013","no","yes",44
"saipan","ladt","G'Z","no","no","30-Jul-2013","31-Jul-2013","no","yes",61
"saipan","ladt","H'A","no","no","30-Jul-2013","31-Jul-2013","no","yes",55
"saipan","ladt","H'B","no","no","30-Jul-2013","31-Jul-2013","no","yes",33
"saipan","ladt","H'C","no","no","30-Jul-2013","31-Jul-2013","no","yes",53
"siapan","ladt","H'D","no","no","30-Jul-2013","2-Aug-2013","no","yes",46
"saipan","ladt","H'E","no","no","1-Aug-2013","2-Aug-2013","no","yes",55
"saipan","ladt","H'F","no","no","1-Aug-2013","2-Aug-2013","no","yes",48
"saipan","ladt","H'G","no","no","1-Aug-2013","2-Aug-2013","no","yes",51
"saipan","ladt","H'H","no","no","1-Aug-2013","2-Aug-2013","no","yes",59
"saipan","ladt","H'I","no","no","1-Aug-2013","3-Aug-2013","no","yes",57
"saipan","ladt","H'J","no","no","1-Aug-2013","4-Aug-2013","no","yes",49
"saipan","forbi","H'K","no","no","1-Aug-2013","2-Aug-2013","no","yes",52
"saipan","forbi","H'L","no","no","1-Aug-2013","2-Aug-2013","no","yes",31
"saipan","forbi","H'M","no","no","1-Aug-2013","2-Aug-2013","no","no",27
"saipan","forbi","H'N","no","no","1-Aug-2013","3-Aug-2013","no","yes",51
"saipan","forbi","H'O","no","no","1-Aug-2013","4-Aug-2013","no","yes",47
"saipan","forbi","H'P","no","no","1-Aug-2013","5-Aug-2013","no","yes",62
"saipan","forbi","H'Q","no","yes","1-Aug-2013","2-Aug-2013","no","no",55
"saipan","forbi","H'R","no","yes","1-Aug-2013","4-Aug-2013","no","yes",45
"saipan","forbi","H'S","no","yes","1-Aug-2013","5-Aug-2013","no","no",49
"saipan","forbi","H'T","no","yes","1-Aug-2013","6-Aug-2013","no","no",46
"saipan","forbi","H'U","no","yes","1-Aug-2013","7-Aug-2013","yes","no",56
"saipan","ladt","H'V","no","yes","30-Jul-2013","2-Aug-2013","no","yes",51
"saipan","ladt","H'W","no","yes","30-Jul-2013","2-Aug-2013","no","no",57
"saipan","ladt","H'X","no","yes","30-Jul-2013","3-Aug-2013","no","yes",44
"saipan","ladt","H'Y","no","yes","30-Jul-2013","6-Aug-2013","no","no",48
"saipan","ladt","H'Z","no","yes","30-Jul-2013","6-Aug-2013","yes","yes",57
"saipan","ladt","I'A","no","yes","30-Jul-2013","7-Aug-2013","yes","yes",49
"saipan","ladt","I'B","no","yes","1-Aug-2013","2-Aug-2013","no","yes",34
"saipan","ladt","I'C","no","yes","1-Aug-2013","4-Aug-2013","no","yes",41
"saipan","ladt","I'D","no","yes","1-Aug-2013","5-Aug-2013","no","yes",46
"saipan","ladt","I'E","no","yes","1-Aug-2013","6-Aug-2013","no","no",48
"saipan","ladt","I'F","no","yes","1-Aug-2013","7-Aug-2013","no","no",55
"saipan","ladt","I'G","no","yes","1-Aug-2013","7-Aug-2013","no","no",66
"saipan","ladt","I'H","yes","no","2-Aug-2013","4-Aug-2013","no","yes",51
"saipan","ladt","I'I","yes","no","3-Aug-2013","4-Aug-2013","no","yes",48
"saipan","ladt","I'J","yes","no","3-Aug-2013","5-Aug-2013","no","yes",51
"saipan","forbi","I'K","yes","no","4-Aug-2013","5-Aug-2013","no","yes",42
"saipan","forbi","I'L","yes","no","5-Aug-2013","6-Aug-2013","no","yes",54
"guam","anao","I'Q","no","no","7-Aug-2013","14-Aug-2013","yes","no",25
"guam","anao","I'R","no","no","7-Aug-2013","10-Aug-2013","no","no",34
"guam","anao","I'S","no","no","7-Aug-2013","14-Aug-2013","yes","no",57
"guam","anao","I'T","no","no","7-Aug-2013","10-Aug-2013","no","no",63
"guam","anao","I'U","no","no","7-Aug-2013","12-Aug-2013","no","no",32
"guam","anao","I'V","no","no","7-Aug-2013","12-Aug-2013","no","no",70
"guam","anao","I'W","no","yes","7-Aug-2013","12-Aug-2013","no","no",48
"guam","anao","I'X","no","yes","7-Aug-2013","10-Aug-2013","no","yes",49
"gaum","anao","I'Y","no","yes","7-Aug-2013","11-Aug-2013","no","no",47
"guam","anao","I'Z","no","yes","7-Aug-2013","14-Aug-2013","yes","no",48
"guam","anao","J'A","no","yes","7-Aug-2013","10-Aug-2013","no","no",51
"guam","anao","J'B","no","yes","7-Aug-2013","10-Aug-2013","no","no",42
"guam","anao","J'C","no","no","7-Aug-2013","10-Aug-2013","no","no",38
"guam","nblas","J'D","no","no","7-Aug-2013","11-Aug-2013","no","yes",37
"guam","nblas","J'E","no","no","7-Aug-2013","12-Aug-2013","no","no",76
"guam","nblas","J'F","no","no","7-Aug-2013","14-Aug-2013","yes","no",56
"guam","nblas","J'G","no","no","7-Aug-2013","14-Aug-2013","yes","no",67
"guam","nblas","J'H","no","no","7-Aug-2013","10-Aug-2013","no","no",59
"guam","nblas","J'I","no","yes","7-Aug-2013","12-Aug-2013","no","no",73
"guam","nblas","J'J","no","yes","7-Aug-2013","11-Aug-2013","no","no",60
"guam","nblas","J'K","no","yes","7-Aug-2013","14-Aug-2013","yes","no",63
"guam","nblas","J'L","no","yes","7-Aug-2013","12-Aug-2013","no","no",53
"guam","nblas","J'M","no","yes","7-Aug-2013","10-Aug-2013","no","yes",61
"guam","nblas","J'N","no","yes","7-Aug-2013","12-Aug-2013","no","no",48
"guam","nblas","J'O","no","yes","7-Aug-2013","11-Aug-2013","no","no",71
"guam","nblas","Z'","yes","no","24-Jun-2013","1-Jul-2013","yes","yes",47
"guam","nblas","A'A","yes","no","24-Jun-2013","29-Jun-2013","yes","yes",77
"guam","nblas","A'B","yes","no","24-Jun-2013","29-Jun-2013","yes","yes",47
"guam","nblas","A'C","yes","no","24-Jun-2013","28-Jun-2013","yes","yes",62
"guam","nblas","A'D","yes","no","24-Jun-2013","30-Jun-2013","yes","yes",58
"guam","nblas","A'E","yes","no","24-Jun-2013","1-Jul-2013","no","no",56
"guam","nblas","A'F","yes","no","24-Jun-2013","28-Jun-2013","no","no",67
"guam","nblas","A'G","yes","no","24-Jun-2013","29-Jun-2013","yes","yes",51
"guam","nblas","A'H","yes","no","24-Jun-2013","26-Jun-2013","no","no",43
"guam","nblas","A'I","yes","no","24-Jun-2013","28-Jun-2013","no","no",66
"guam","nblas","A'J","yes","no","24-Jun-2013","30-Jun-2013","no","no",58
"guam","nblas","A'K","yes","no","24-Jun-2013","29-Jun-2013","no","no",39
"guam","nblas","A'L","yes","no","24-Jun-2013","30-Jun-2013","no","no",56
"guam","nblas","A'M","yes","no","24-Jun-2013","28-Jun-2013","no","yes",54
"guam","nblas","A'N","yes","no","24-Jun-2013","27-Jun-2013","no","yes",53
"guam","nblas","A'O","yes","no","24-Jun-2013","30-Jun-2013","no","no",70
"guam","nblas","A'P","yes","no","24-Jun-2013","25-Jun-2013","no","no",58
