"island","site","web","native","netting","startdate","enddate","spidpres","webpres","websize","websize_c","duration","webarea"
"guam","anao","I'Q","no","no",2013-08-07,2013-08-14,"yes","no",25,-2.47448601224313,7,0.0490873852123405
"saipan","forb","H'M","no","no",2013-08-01,2013-08-02,"no","no",27,-2.28915413807512,1,0.057255526111674
"saipan","forb","H'L","no","no",2013-08-01,2013-08-02,"no","yes",31,-1.91849038973911,1,0.0754767635024948
"guam","anao","I'U","no","no",2013-08-07,2013-08-12,"no","no",32,-1.82582445265511,5,0.0804247719318987
"saipan","ladt","H'B","no","no",2013-07-30,2013-07-31,"no","yes",33,-1.73315851557111,1,0.0855298599939821
"saipan","mtr","G'Q","yes","no",2013-07-26,2013-07-29,"no","yes",34,-1.64049257848711,3,0.090792027688745
"saipan","ladt","I'B","no","yes",2013-08-01,2013-08-02,"no","yes",34,-1.64049257848711,1,0.090792027688745
"guam","anao","I'R","no","no",2013-08-07,2013-08-10,"no","no",34,-1.64049257848711,3,0.090792027688745
"saipan","forb","G'S","yes","no",2013-07-27,2013-07-29,"no","yes",37,-1.3624947672351,2,0.107521008569111
"guam","nbla","J'D","no","no",2013-08-07,2013-08-11,"no","yes",37,-1.3624947672351,4,0.107521008569111
"guam","anao","J'C","no","no",2013-08-07,2013-08-10,"no","no",38,-1.2698288301511,3,0.113411494794592
"guam","nbla","A'K","yes","no",2013-06-24,2013-06-29,"no","no",39,-1.1771628930671,5,0.119459060652752
"saipan","mtr","G'R","yes","no",2013-07-26,2013-07-27,"no","yes",41,-0.991831018899096,1,0.132025431267111
"saipan","ladt","I'C","no","yes",2013-08-01,2013-08-04,"no","yes",41,-0.991831018899096,3,0.132025431267111
"saipan","forb","I'K","yes","no",2013-08-04,2013-08-05,"no","yes",42,-0.899165081815094,1,0.13854423602331
"guam","anao","J'B","no","yes",2013-08-07,2013-08-10,"no","no",42,-0.899165081815094,3,0.13854423602331
